,words,frequency_of_occurrence
1328,alcohol,2
1329,"strength,",2
1330,I'll,2
1331,mumbai,2
1332,unless,2
1333,dresses,2
1334,whether,2
1335,leaving,2
1336,continues,2
1337,fast.,2
1338,working,2
1339,strength,2
1340,bros,2
1341,succeed,2
1342,see.,2
1343,stick,2
1344,cities,2
1345,remain,2
1346,cant,2
1347,conversations.,2
1348,grow.,2
1349,happen.,2
1350,life!,2
1351,are.,2
1352,else.,2
1353,seconds,2
1354,upside,2
1355,classes,2
1356,quite,2
1357,grief,2
1358,sweetest,2
1359,wich,2
1360,continuous,2
1361,darkness.,2
1362,Your,2
1363,bored,2
1364,road,2
1365,shine,2
1366,accidents,2
1367,will.,2
1368,fights,2
1369,"happy,",2
1370,adventurous,2
1371,worls,2
1372,waste,2
1373,important.,2
1374,dancing,2
1375,allowed,2
1376,discover,2
1377,health,2
1378,belongs,2
1379,"enemies,",2
1380,"head,",2
1381,embracing,2
1382,questions,2
1383,intelligent,2
1384,…,2
1385,sister,2
1386,forget.,2
1387,cancelled,2
1388,feared.,2
1389,"choices,",2
1390,strength.,1
1391,directed,1
1392,cultures.,1
1393,stood,1
1394,independent,1
1395,novel.,1
1396,sad.,1
1397,Crazy,1
1398,reward,1
1399,thanku,1
1400,kings,1
1401,university,1
1402,seriousness,1
1403,bang,1
1404,country,1
1405,recovery.,1
1406,freeze,1
1407,hey!,1
1408,we've,1
1409,decides,1
1410,efforts,1
1411,Learning,1
1412,buy,1
1413,"""candid""",1
1414,"difference,",1
1415,"salad,",1
1416,surprises,1
1417,paper,1
1418,"weather,",1
1419,surpasses,1
1420,furious,1
1421,caused,1
1422,you;,1
1423,caption.,1
1424,spirit,1
1425,banti,1
1426,center,1
1427,Life,1
1428,ramp,1
1429,lazy,1
1430,parallel,1
1431,peoples,1
1432,Will,1
1433,pieces,1
1434,"ones,",1
1435,decide,1
1436,community,1
1437,lose.all,1
1438,europe,1
1439,@pariganjoo,1
1440,honesty.,1
1441,endured.,1
1442,disgust.,1
1443,taste,1
1444,conversation.,1
1445,"working,",1
1446,indecency's,1
1447,team.....,1
1448,lives.,1
1449,enthral,1
1450,whistled,1
1451,#wedding,1
1452,Discipline,1
1453,birth,1
1454,"everything,",1
1455,matters.,1
1456,culture,1
1457,"sleep,",1
1458,"happy,excited",1
1459,cream,1
1460,wished,1
1461,nirbhya,1
1462,"catchy,but",1
1463,"honor,",1
1464,roommate!!!,1
1465,you’ve,1
1466,tune,1
1467,nevr,1
1468,music?,1
1469,recommendation,1
1470,"close,",1
1471,reservation.,1
1472,ignored.,1
1473,disturb,1
1474,easy.,1
1475,cowardice,1
1476,"don't,",1
1477,necessarry,1
1478,store,1
1479,breaks,1
1480,Pay,1
1481,works,1
1482,sweetness,1
1483,indifference;,1
1484,Accidents,1
1485,seccond,1
1486,temporary,1
1487,priviledge,1
1488,smile….because,1
1489,humble.,1
1490,vulnerable.,1
1491,achieve,1
1492,lady,1
1493,child,1
1494,kitkat,1
1495,"rain,",1
1496,hide.,1
1497,#jaipurdiaries,1
1498,mountains.,1
1499,unknown,1
1500,heroine,1
1501,followers.,1
1502,click's,1
1503,shades,1
1504,particular,1
1505,green,1
1506,ayushi…,1
1507,rude,1
1508,darkness;,1
1509,silence,1
1510,p.,1
1511,feuds,1
1512,knocks,1
1513,relations.,1
1514,sunset,1
1515,love;,1
1516,demand,1
1517,heads,1
1518,"outcomes,",1
1519,however,1
1520,angels,1
1521,dayy,1
1522,figure,1
1523,fat,1
1524,ever.!,1
1525,opportunity,1
1526,hai,1
1527,unsteady,1
1528,cheese,1
1529,confience.,1
1530,tread,1
1531,return.,1
1532,akready,1
1533,peace.,1
1534,prefer?,1
1535,expresses,1
1536,screams,1
1537,by!,1
1538,vile,1
1539,descriptions:,1
1540,destiny,1
1541,fog,1
1542,wins.,1
1543,empty.,1
1544,ardor.,1
1545,satisfying,1
1546,galaxies,1
1547,skater,1
1548,removing,1
1549,indifference,1
1550,wolf,1
1551,limits.,1
1552,commits.,1
1553,aww.,1
1554,surrounding,1
1555,Duty,1
1556,"swiftly,",1
1557,"return,",1
1558,replacement,1
1559,mobile,1
1560,again!,1
1561,lively,1
1562,flight,1
1563,who's,1
1564,fragile,1
1565,ingratitude,1
1566,shit,1
1567,rap,1
1568,positvity,1
1569,belongings,1
1570,ventilated,1
1571,fas!!,1
1572,"that,",1
1573,"expectations,no",1
1574,wishes.,1
1575,problems.,1
1576,Diligence,1
1577,"nervous,",1
1578,life….besides,1
1579,someone.,1
1580,burns,1
1581,"against,",1
1582,risk,1
1583,victim.,1
1584,patriotism-it,1
1585,drinking,1
1586,?.,1
1587,loosing,1
1588,things.”,1
1589,"caught,",1
1590,Hatred,1
1591,chance,1
1592,inhabiting,1
1593,shy,1
1594,beast,1
1595,neon!!,1
1596,#sad,1
1597,@rajput_rhea_,1
1598,"glitter,",1
1599,eqally,1
1600,smoke,1
1601,"prejudices,",1
1602,Four,1
1603,exeperience,1
1604,relieved,1
1605,allures,1
1606,unbelievably,1
1607,cutest,1
1608,"recovered,",1
1609,summing,1
1610,carrying,1
1611,@akshada1,1
1612,germs?,1
1613,objects,1
1614,"cheat,",1
